wl nw Kw GSV1 GSV2 GSV3
400 1.34 5.8e-05 0.87845 0.46703 0.56505
401 1.34 5.85e-05 0.880975 0.468141 0.564975
402 1.34 5.9e-05 0.8835 0.469252 0.5649
403 1.34 5.99e-05 0.886025 0.470363 0.564825
404 1.34 6.1e-05 0.88855 0.471474 0.56475
405 1.34 6.2e-05 0.891075 0.472585 0.564675
406 1.34 6.3e-05 0.8936 0.473696 0.5646
407 1.34 6.4e-05 0.896125 0.474807 0.564525
408 1.34 6.5e-05 0.89865 0.475918 0.56445
409 1.34 6.6e-05 0.901175 0.477029 0.564375
410 1.34 6.7e-05 0.9037 0.47814 0.5643
411 1.34 6.79e-05 0.905654 0.479135 0.56314
412 1.34 6.9e-05 0.907608 0.48013 0.56198
413 1.34 7.05e-05 0.909562 0.481125 0.56082
414 1.34 7.2e-05 0.911516 0.48212 0.55966
415 1.34 7.31e-05 0.91347 0.483115 0.5585
416 1.34 7.4e-05 0.915424 0.48411 0.55734
417 1.34 7.49e-05 0.917378 0.485105 0.55618
418 1.34 7.6e-05 0.919332 0.4861 0.55502
419 1.34 7.74e-05 0.921286 0.487095 0.55386
420 1.34 7.9e-05 0.92324 0.48809 0.5527
421 1.34 8.06e-05 0.925008 0.489267 0.550233
422 1.34 8.2e-05 0.926776 0.490444 0.547766
423 1.34 8.3e-05 0.928544 0.491621 0.545299
424 1.34 8.4e-05 0.930312 0.492798 0.542832
425 1.34 8.55e-05 0.93208 0.493975 0.540365
426 1.34 8.7e-05 0.933848 0.495152 0.537898
427 1.34 8.8e-05 0.935616 0.496329 0.535431
428 1.34 8.9e-05 0.937384 0.497506 0.532964
429 1.34 9.05e-05 0.939152 0.498683 0.530497
430 1.34 9.2e-05 0.94092 0.49986 0.52803
431 1.34 9.3e-05 0.942594 0.501218 0.524594
432 1.34 9.4e-05 0.944268 0.502576 0.521158
433 1.34 9.55e-05 0.945942 0.503934 0.517722
434 1.34 9.7e-05 0.947616 0.505292 0.514286
435 1.34 9.8e-05 0.94929 0.50665 0.51085
436 1.34 9.9e-05 0.950964 0.508008 0.507414
437 1.34 0.000101 0.952638 0.509366 0.503978
438 1.34 0.000102 0.954312 0.510724 0.500542
439 1.34 0.000103 0.955986 0.512082 0.497106
440 1.34 0.000104 0.95766 0.51344 0.49367
441 1.34 0.000105 0.959161 0.51466 0.490903
442 1.34 0.000106 0.960662 0.51588 0.488136
443 1.34 0.000107 0.962163 0.5171 0.485369
444 1.34 0.000108 0.963664 0.51832 0.482602
445 1.34 0.000109 0.965165 0.51954 0.479835
446 1.34 0.00011 0.966666 0.52076 0.477068
447 1.34 0.000111 0.968167 0.52198 0.474301
448 1.34 0.000112 0.969668 0.5232 0.471534
449 1.34 0.000113 0.971169 0.52442 0.468767
450 1.34 0.000114 0.97267 0.52564 0.466
451 1.34 0.000115 0.973898 0.52651 0.464898
452 1.34 0.000116 0.975126 0.52738 0.463796
453 1.34 0.000117 0.976354 0.52825 0.462694
454 1.34 0.000118 0.977582 0.52912 0.461592
455 1.34 0.000119 0.97881 0.52999 0.46049
456 1.34 0.00012 0.980038 0.53086 0.459388
457 1.34 0.000121 0.981266 0.53173 0.458286
458 1.34 0.000122 0.982494 0.5326 0.457184
459 1.34 0.000123 0.983722 0.53347 0.456082
460 1.34 0.000124 0.98495 0.53434 0.45498
461 1.34 0.000125 0.985599 0.53489 0.454297
462 1.34 0.000126 0.986248 0.53544 0.453614
463 1.34 0.000127 0.986897 0.53599 0.452931
464 1.34 0.000128 0.987546 0.53654 0.452248
465 1.34 0.000129 0.988195 0.53709 0.451565
466 1.34 0.00013 0.988844 0.53764 0.450882
467 1.34 0.000132 0.989493 0.53819 0.450199
468 1.34 0.000133 0.990142 0.53874 0.449516
469 1.33 0.000134 0.990791 0.53929 0.448833
